Sigla,Name,Índice-__H,level
TARK,Conference on Theoretical Aspects of Rationality and Knowledge,19,4
WOCN,IFIP International Conference on Wireless and Optical Communications Networks,19,4
3DUI,IEEE Symposium on 3D User Interfaces,18,4
ABZ,"Abstract State Machines, Al oy, B and Z",18,4
ACIVS,Advanced Concepts for Intel igent Vision Systems Conference,18,4
Ada-Europe,International Conference on Reliable Software Technologies,18,4
ADMA,International Conference on Advanced Data Mining and Applications,18,4
BNCOD,Workshops of the British National Conference on Databases,18,4
COMSWARE,ICST International Conference on Communication System software and Middleware,18,4
CSCWD,International Conference on Computer Supported Cooperative Work in Design,18,4
DAIS,IFIP International Conference on Distributed Applications and Interoperable Systems,18,4
ETS,IEEE European Test Symposium,18,4
FAABS,IEEE Workshop on Formal Approaches to Agent-Based Systems,18,4
FCT,International Symposium on Fundamentals of Computation Theory,18,4
FOAL,Foundations of Aspect-Oriented Languages Workshop,18,4
FoIKS,International Symposium on Foundations on Information and Knowledge Systems,18,4
FSKD,International Conference on Fuzzy Systems and Knowledge Discovery,18,4
GCC,International Conference on Grid and Cooperative Computing,18,4
GD,International Symposium on Graph Drawing,18,4
GMP,Geometry Modeling and Processing Conference,18,4
HIS,International Conference on Hybrid Intel igent Systems,18,4
HotMobile,Workshop on Mobile Computing Systems and Applications,18,4
ICCE,International Conference on Computers in Education,18,4
ICCIMA,International Conference on Computational Intel igence and Multimedia Applications,18,4
ICCI_A,IEEE International Conference on Cognitive Informatics,18,4
ICITA,International Conference on Information Technology and Applications,18,4
ISCIS,International Symposium on Computer and Information Sciences,18,4
JCIS,Joint Conference on Information Sciences,18,4
MTSummit,Machine Translation Summit,18,4
PBG,IEEE/Eurographics Symposium on Point-Based Graphics,18,4
PDCAT,International Conference on Parallel and Distributed Computing Applications and Technologies,18,4
PPSWR,Principles and Practice of Semantic Web Reasoning,18,4
PST,"Conference on Privacy, Security and Trust",18,4
RST,Reliable Software Technologies,18,4
SBAC-PAD,International Symposium on Computer Architecture and High Performance,18,4
SBIE,Simpósio Brasileiro de Informática na Educação,18,4
SCW,IEEE Workshop on Speech Coding,18,4
TIDSE,International Conference on Technology for Interactive Digital Storytel ing and Entertainment,18,4
VRCIA,ACM SIGGRAPH International Conference on Virtual-Reality Continuum and its Applications in Industry,18,4
AAECC,"Applied algebra, Algebraic algorithms, and Error Correcting Codes",17,4
ARCS,Architecture of Computing Systems,17,4
CL,Corpus Linguistics Conference,17,4
CMV,International Conference on Coordinated and Multiple Views in Exploratory Visualization,17,4
CNSR,Annual Conference on Communication Networks and Services Research,17,4
DBPL,International Symposium on Database Programming,17,4
DIGRA,Digital Games Research Conference,17,4
EDCC,European Dependable Computing Conference,17,4
ENTER,International Conference on Information and Communication Technologies in Tourism,17,4
FDTC,Workshop on Fault Diagnosis and Tolerance in Cryptography,17,4
FQAS,International Conference on Flexible Query Answering Systems,17,4
HCII,International Conference on Human-Computer Interaction,17,4
HiPEAC,International Conference on High-Performance and Embedded Architectures and Compilers,17,4
HoloMAS,Holonic and Multi-Agent Systems for Manufacturing,17,4
Humanoids,IEEE RAS International Conference on Humanoids Robots,17,4
ICAISC,International Conference on Artifical Intel igence and Soft Computing,17,4
ICAS,International Conference on Autonomic and Autonomous Systems,17,4
ICMLA,International Conference on Machine Learning and Applications,17,4
ICMT,International Conference on Model Transformation,17,4
ICT,International Conference on Telecommunications,17,4
ICWN,International Conference on Wireless Networks,17,4
ISPDC,International Symposium on Parallel and Distributed Computing,17,4
ITS,International Conference on Interactive Tabletops and Surfaces,17,4
LANMAN,IEEE Workshop on Local and Metropolitan Area Networks,17,4
MATA,International Workshop on Mobility Aware Technologies and Applications,17,4
MATES,German Conference on Multiagent System Technologies,17,4
PATMOS,International Workshop on Power and Timing Modeling: Optimization and Simulation,17,4
QSHINE,International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks,17,4
Qsine,International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks,17,4
RANLP,Recent Advances in Natural Language Processing,17,4
SERP,International Conference on Software Engineering Research & Practice,17,4
UIC,International Conference on Ubiquitous Intel igence and Computing,17,4
VRCAI,International Conference on Virtual Reality Continuum and its Applications in Industry,17,4
AIMSA,"Artificial Intel igence: Methodology, Systems, Applications",16,4
AWIC,Atlantic Web Intel igence Conference,16,4
CIARP,Iberoamerican Congress on Pattern Recognition,16,4
CiE,Computability in Europe Conference,16,4
CIMCA,International Conference on Computational Intel igence for Model ing Control and Automation,16,4
CLEF,Cross Language Evaluation Forum Workshop,16,4
DMDW,Design and Management of Data Warehouses,16,4
Emnets,Workshop on Embedded Networked Sensors,16,4
ESM,European Simulation Multiconference,16,4
Euro-Plop,European Conference on Pattern Languages of Programs,16,4
EUROPKI,European Public Key Infrastructure Workshop,16,4
IBERAMIA,Ibero-American Artificial Intel igence Conference,16,4
ICAI,International Conference on Artificial Intel igence,16,4
ICEE,International Conference on Engineering Education,16,4
ICHIT,International Conference on Hybrid Information Technology,16,4
ICSC_A,International Computer Science Conference,16,4
ICVS_A,International Conference on Virtual Storytel ing,16,4
ICWI,International Conference WWW/Internet,16,4
IDC,International Conference on Interaction Design and Children,16,4
IPMU,International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems,16,4
ISDA,International Conference on Intel igent Systems Design and Applications,16,4
ISIMP,International Symposium on Intel igent Multimedia Video and Speech Processing,16,4
ITRE,International Conference on Information Technology: Research and Education,16,4
MFI,IEEE International Conference on Multisensor Fusion and Integration for Intel igent Systems,16,4
MLSP,IEEE International Workshop on Machine Learning for Signal Processing,16,4
OOIS,International Conference on Object-Oriented Information Systems,16,4
OSS,International Conference on Open Source Systems,16,4
SAB,International Conference on Simulation of Adaptive Behavior,16,4
SAMOS,"International Conference on Embedded Computer Systems: Architectures, Modeling, and Simulation",16,4
